year,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,crime_total_murders,crime_total_firearms,crime_handguns,crime_rifles,crime_shotguns,crime_firearms_type_unknown,crime_knives__cutting _instruments,crime_other_weapons,crime_hands_fists_feet_etc,Political
31-Dec-11,New Mexico,6413,0,46708,45187,1240,2520,2,42,70,0,5155,8275,8,0,0,0,0,0,0,0,0,0,0,0,115620,121,60,45,2,2,11,21,32,8,Blue
31-Dec-12,New Mexico,8025,0,58155,57555,2255,3329,1,42,59,1,5373,8612,12,0,0,0,0,0,0,0,0,0,0,0,143419,109,67,42,5,5,15,14,21,7,Blue
31-Dec-18,New Mexico,11758,0,68549,52931,6428,4115,3,83,84,3,5794,6252,38,569,0,0,0,0,105,115,15,3,7,1,156853,137,87,39,3,0,45,23,22,5,Blue
31-Dec-11,Colorado,1280,0,148975,146166,0,39875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336296,147,73,39,3,5,26,22,31,21,Blue
31-Dec-06,Colorado,12522,0,79488,117350,0,5389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214749,156,85,38,0,8,39,35,16,20,Blue
31-Dec-18,Massachusetts,116282,0,53039,32848,5593,2060,33,2,0,6,70,46,2,10,9,3,0,0,644,477,133,22,16,0,211295,136,93,37,0,1,55,25,13,5,Blue
31-Dec-11,District of Columbia,0,0,280,9,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,108,77,37,0,1,39,21,9,1,Blue
31-Dec-07,Connecticut,52769,0,29991,28627,0,664,4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116112,95,57,37,0,4,16,14,20,4,Blue
31-Dec-10,New Mexico,8100,0,42618,42293,996,2386,0,65,109,1,4411,8083,7,0,0,0,0,0,0,0,0,0,0,0,109069,118,67,36,6,2,23,29,15,7,Blue
31-Dec-13,Massachusetts,143528,0,61219,40058,4396,2033,108,3,3,1,6,4,0,0,0,0,0,0,1,1,0,0,0,0,251361,135,78,35,2,0,41,25,25,7,Blue
31-Dec-17,Massachusetts,96467,1,66966,34448,4905,1934,144,4,0,6,63,51,5,12,6,0,0,0,760,493,184,23,15,5,206492,170,99,34,0,0,65,36,29,6,Blue
31-Dec-16,Massachusetts,97516,16,75977,41931,7096,2480,37,1,3,1,74,57,17,5,2,1,0,0,494,373,98,16,14,3,226212,132,85,34,0,0,51,25,11,11,Blue
31-Dec-10,Colorado,12928,0,130155,129642,0,28094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300820,117,65,34,0,4,27,20,21,11,Blue
31-Dec-17,Oregon,38968,170,168938,131568,0,34,12,0,0,0,0,0,0,1025,448,4,0,0,0,0,0,0,0,0,341167,100,58,34,2,2,20,17,22,3,Blue
31-Dec-13,Connecticut,163105,0,68920,57455,4521,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294338,86,60,34,0,0,26,12,5,9,Blue
31-Dec-19,Massachusetts,123086,6,50515,29507,5911,2117,86,2,3,3,82,67,5,8,2,0,0,0,434,335,109,23,15,0,212316,146,86,33,0,0,53,38,14,8,Blue
31-Dec-14,Massachusetts,80130,0,59663,33395,4032,1919,95,1,4,1,60,33,11,0,0,0,0,0,0,0,0,0,0,0,179344,131,81,33,0,0,48,34,13,3,Blue
31-Dec-15,Massachusetts,60526,0,65841,34145,4493,1877,12,0,3,0,35,33,6,9,6,5,0,0,171,108,14,0,0,1,167285,126,81,33,1,0,47,27,11,7,Blue
31-Dec-10,District of Columbia,2,0,308,11,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,131,99,32,0,0,67,20,7,5,Blue
31-Dec-12,Massachusetts,115496,0,55136,35033,2687,1996,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210453,121,70,32,0,1,37,33,12,6,Blue
31-Dec-16,Oregon,2903,6,178716,143029,0,0,20,0,0,0,0,0,0,23,11,0,0,0,0,0,0,0,0,0,324708,100,51,32,6,1,12,24,24,1,Blue
31-Dec-19,Oregon,60616,6982,166667,120905,0,100,32,0,0,0,0,0,0,1685,704,9,0,0,0,0,0,0,0,0,357700,98,61,31,1,4,25,19,14,4,Blue
31-Dec-14,District of Columbia,0,0,475,30,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,105,73,30,0,1,42,17,10,5,Blue
31-Dec-13,District of Columbia,0,0,453,37,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,103,81,30,1,1,49,12,5,5,Blue
31-Dec-17,Connecticut,77904,2560,71853,25866,3023,0,505,0,0,62,0,0,0,0,0,0,0,0,3,3,0,0,0,0,181779,102,72,30,0,1,41,11,9,10,Blue
31-Dec-18,Oregon,61444,988,166211,128724,0,75,43,0,0,0,0,0,0,1519,668,10,0,0,0,0,0,0,0,0,359682,81,48,30,3,1,14,12,18,3,Blue
31-Dec-15,Connecticut,133565,0,123507,48350,2230,0,88,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,307750,107,73,29,0,2,42,16,9,9,Blue
31-Dec-08,Delaware,0,0,7822,9841,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18102,57,44,29,0,2,13,6,5,2,Blue
31-Dec-14,Delaware,2468,0,19310,19271,824,812,0,20,24,0,112,108,1,0,0,0,0,0,0,0,0,0,0,0,42950,54,39,29,0,0,10,4,3,8,Blue
31-Dec-15,Delaware,4520,0,23245,20043,897,803,1,45,35,0,329,140,3,0,0,0,0,0,244,89,8,9,4,1,50416,63,52,26,0,0,26,6,3,2,Blue
31-Dec-12,Delaware,36,0,15684,13873,465,601,0,0,0,0,28,37,0,0,0,0,0,0,0,0,0,0,0,0,30724,57,41,25,1,2,13,5,8,3,Blue
31-Dec-10,Delaware,0,0,9230,9466,207,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19240,48,38,25,0,2,11,8,0,2,Blue
31-Dec-08,Oregon,608,0,71876,103276,0,4127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179887,82,47,24,2,2,19,16,18,1,Blue
31-Dec-16,Connecticut,148949,0,122375,43813,2445,0,108,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,317692,76,48,24,0,1,23,12,13,3,Blue
31-Dec-13,Delaware,2040,0,19799,16424,864,806,8,0,1,0,62,58,0,0,0,0,0,0,0,0,0,0,0,0,40062,39,33,22,1,0,10,4,2,0,Blue
31-Dec-14,New Mexico,8885,0,58328,52902,3062,3315,0,13,22,0,5718,7515,20,0,0,0,0,0,0,0,0,0,0,0,139780,96,53,21,2,2,28,22,19,2,Blue
31-Dec-17,New Mexico,13493,0,70791,53472,5203,3759,1,41,38,5,5652,6496,31,578,0,0,0,0,100,98,13,0,7,1,159779,113,71,20,2,0,49,20,19,3,Blue
31-Dec-17,Delaware,5984,0,22308,18415,1021,933,42,10,17,1,439,265,47,23,0,0,0,0,752,343,28,5,5,1,50639,52,44,20,0,1,23,3,4,1,Blue
31-Dec-10,Oregon,486,0,80060,98279,0,6010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184835,78,36,20,1,2,13,16,17,9,Blue
31-Dec-09,Delaware,0,0,9712,10246,76,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20530,41,31,20,2,0,9,6,1,3,Blue
31-Dec-14,Connecticut,130334,0,78637,59470,1508,0,224,0,0,0,1,0,0,0,0,0,0,0,21,28,3,41,25,5,270297,83,51,19,0,3,29,17,5,10,Blue
31-Dec-07,Delaware,0,0,6300,9316,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15912,37,22,19,0,0,3,6,8,1,Blue
31-Dec-11,Delaware,0,0,11126,10672,266,417,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,22490,41,28,18,0,3,7,8,2,3,Blue
31-Dec-16,Delaware,8440,0,25574,21746,1268,1034,0,22,30,0,255,213,16,0,0,0,0,0,590,195,32,12,3,0,59430,56,41,17,0,0,24,7,8,0,Blue
31-Dec-15,Oregon,553,0,150194,125378,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276126,71,34,17,1,5,11,12,22,3,Blue
31-Dec-06,Oregon,545,0,56364,103452,0,3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163705,85,44,16,4,2,22,22,12,7,Blue
31-Dec-14,Oregon,538,0,123605,118887,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243044,73,39,16,2,2,19,14,18,2,Blue
31-Dec-13,Oregon,559,0,140539,133202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274302,78,43,15,0,4,24,12,18,5,Blue
31-Dec-07,Oregon,566,0,60535,98202,0,3326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162629,72,38,15,2,4,17,12,18,4,Blue
31-Dec-15,New Mexico,8917,0,65666,52235,3948,3516,0,22,23,2,5758,7341,14,445,2,0,0,0,8,9,0,3,3,0,147912,94,56,14,1,2,39,18,19,1,Blue
31-Dec-18,Delaware,4947,0,18953,18342,2220,1053,0,10,12,4,203,163,17,617,0,2,0,0,725,387,52,12,3,1,47723,48,40,14,1,2,23,4,3,1,Blue
31-Dec-06,Delaware,0,0,6107,10367,0,220,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16698,41,27,14,0,3,10,7,6,1,Blue
31-Dec-19,Delaware,4501,0,20228,16949,1553,993,0,18,19,1,142,115,4,795,0,3,0,0,697,324,58,13,14,0,46427,48,40,13,0,0,27,2,3,3,Blue
31-Dec-16,New Mexico,14149,0,69434,55664,4924,3732,0,59,53,1,5643,6978,30,505,0,0,0,0,22,16,2,2,2,0,161216,99,60,13,1,0,46,17,19,3,Blue
31-Dec-11,Oregon,578,0,95413,106685,0,7103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209781,77,40,13,1,2,24,22,10,5,Blue
31-Dec-16,Hawaii,16627,0,0,0,0,0,1,0,0,0,0,0,0,20,32,1,0,0,0,0,0,0,0,0,16681,35,19,12,3,2,2,8,5,3,Blue
31-Dec-19,Connecticut,78974,5216,58808,22410,7516,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172935,104,65,11,1,0,53,15,17,7,Blue
31-Dec-12,Oregon,431,0,132660,133862,1,52,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267041,81,42,11,2,3,26,17,20,2,Blue
31-Dec-18,Connecticut,80559,5194,60630,24573,6729,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,177690,83,54,10,2,0,42,18,9,2,Blue
31-Dec-09,Oregon,690,0,77167,102016,0,5170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185043,83,41,9,2,10,20,21,19,2,Blue
31-Dec-08,Rhode Island,0,0,5869,5315,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12405,29,18,9,0,0,9,6,4,1,Blue
31-Dec-12,Rhode Island,0,0,11604,10508,220,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24050,34,19,7,0,0,12,5,6,4,Blue
31-Dec-08,Hawaii,8562,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8569,25,11,7,1,2,1,8,0,6,Blue
31-Dec-06,Vermont,0,0,6743,13699,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20713,12,7,7,0,0,0,1,2,2,Blue
31-Dec-18,Hawaii,14046,0,0,0,0,0,1,0,0,0,0,0,0,10,31,0,0,0,0,0,0,0,0,0,14088,33,11,6,1,0,4,10,6,6,Blue
31-Dec-10,Hawaii,10527,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10533,24,7,6,0,0,1,6,5,6,Blue
31-Dec-19,Hawaii,12624,3,0,0,0,0,0,0,0,0,0,0,0,14,25,0,0,0,0,0,0,0,0,0,12666,32,9,5,0,0,4,7,11,5,Blue
31-Dec-16,Rhode Island,0,0,14262,10204,885,1999,0,0,0,0,44,53,1,74,20,24,0,0,125,51,14,2,0,0,27758,29,12,5,0,0,7,9,6,2,Blue
31-Dec-14,Rhode Island,0,0,10045,8419,489,1342,0,1,2,0,50,52,0,0,0,0,0,0,0,0,0,0,0,0,20400,25,12,5,0,1,6,7,5,1,Blue
31-Dec-06,Hawaii,7580,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7588,21,7,5,0,0,2,3,6,5,Blue
31-Dec-07,Vermont,0,0,6673,12991,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19951,12,9,5,2,1,1,2,0,1,Blue
31-Dec-09,Hawaii,10511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10511,21,8,4,2,1,1,3,4,6,Blue
31-Dec-08,Vermont,0,0,8102,13499,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21991,17,8,4,3,0,1,0,6,3,Blue
31-Dec-13,Rhode Island,0,0,12800,11128,455,2237,0,2,1,0,19,24,0,0,0,0,0,0,0,0,0,0,0,0,26666,31,18,3,0,1,14,5,6,2,Blue
31-Dec-06,Rhode Island,0,0,4315,4543,0,1055,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,9936,28,7,3,0,0,4,8,11,2,Blue
31-Dec-15,Rhode Island,0,0,11274,8402,703,1561,0,2,1,0,54,47,0,0,0,2,0,0,46,29,7,1,0,0,22129,27,10,3,0,1,6,10,6,1,Blue
31-Dec-07,Rhode Island,0,0,4535,4734,0,949,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10222,19,9,3,0,0,6,7,3,0,Blue
31-Dec-12,Hawaii,17406,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,17428,13,3,3,0,0,0,2,4,4,Blue
31-Dec-07,Hawaii,6511,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6521,12,3,3,0,0,0,3,1,5,Blue
31-Dec-19,Vermont,0,0,16299,16832,1642,854,37,2,1,1,41,45,12,0,0,0,0,0,32,42,3,0,0,0,35843,11,8,3,2,0,3,0,1,2,Blue
31-Dec-14,Vermont,0,0,13914,16346,647,561,0,0,2,0,12,19,1,0,0,0,0,0,0,0,0,0,0,0,31502,10,6,3,2,0,1,1,1,2,Blue
31-Dec-18,Vermont,2,0,18532,19745,2018,1059,26,0,2,1,33,24,8,0,0,0,0,0,35,58,7,0,0,0,41550,10,3,3,0,0,0,0,5,2,Blue
31-Dec-16,Vermont,0,0,18320,18853,1291,885,1,0,1,0,15,23,11,0,0,0,0,0,5,8,0,2,2,0,39417,14,6,2,2,1,1,2,6,0,Blue
31-Dec-10,Rhode Island,0,0,7641,6062,214,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14835,29,16,2,1,1,12,5,6,2,Blue
31-Dec-15,Vermont,0,0,16353,16694,787,705,0,1,3,0,6,25,3,0,0,0,0,0,3,4,1,3,0,0,34588,10,8,2,4,0,2,0,1,1,Blue
31-Dec-11,Vermont,0,0,11276,15381,216,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27292,8,4,2,0,0,2,2,2,0,Blue
31-Dec-12,Vermont,0,0,14891,18590,372,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34507,8,2,2,0,0,0,2,3,1,Blue
31-Dec-17,Rhode Island,0,0,12959,8154,1042,2116,0,0,0,0,41,39,1,27,14,35,0,0,136,71,6,13,23,0,24677,20,8,1,0,0,7,4,5,3,Blue
31-Dec-19,Rhode Island,0,0,11698,7885,1110,2165,0,0,0,0,45,13,0,471,658,31,0,0,144,79,9,13,17,0,24338,25,10,1,0,0,9,7,6,2,Blue
31-Dec-18,Rhode Island,0,0,12252,8477,1468,2091,0,0,1,3,44,26,0,128,147,101,0,0,176,72,8,19,16,1,25030,16,12,1,1,1,9,2,1,1,Blue
31-Dec-17,Hawaii,12712,0,0,0,0,0,1,0,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,12742,39,4,1,1,0,2,9,10,16,Blue
31-Dec-15,Hawaii,15266,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,15290,19,4,1,1,0,2,6,2,7,Blue
31-Dec-11,Rhode Island,0,0,8689,7241,200,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17271,14,5,1,0,0,4,5,4,0,Blue
31-Dec-17,Vermont,0,0,17599,17825,1176,869,5,1,0,1,23,55,8,0,0,0,0,0,28,20,0,0,0,0,37610,14,6,1,0,0,5,6,1,1,Blue
31-Dec-13,Hawaii,17415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17416,9,6,1,2,2,1,2,1,0,Blue
31-Dec-13,Vermont,0,0,15912,18903,585,732,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36135,9,5,1,2,1,1,0,1,3,Blue
31-Dec-10,Vermont,0,0,9535,14191,188,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24276,7,2,1,1,0,0,1,2,2,Blue
31-Dec-14,Hawaii,15225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15225,5,1,1,0,0,0,0,3,1,Blue
31-Dec-09,Rhode Island,0,0,7168,6244,132,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14799,31,18,0,0,0,18,6,5,2,Blue
31-Dec-11,Hawaii,12626,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12635,7,1,0,1,0,0,2,1,3,Blue
31-Dec-09,Vermont,0,0,8898,13594,81,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23085,7,0,0,0,0,0,4,1,2,Blue
31-Dec-07,Texas,75324,0,240007,343467,0,14028,22605,449,569,0,35287,51860,0,0,0,0,0,0,0,0,0,0,0,0,783596,"1,419",946,727,58,60,101,177,203,93,Red
31-Dec-06,Texas,89836,0,209106,364299,0,13265,22,632,666,0,35722,56688,0,0,0,0,0,0,0,0,0,0,0,0,770236,"1,381",949,711,53,71,114,162,183,87,Red
31-Dec-08,Texas,98980,0,337415,394276,0,20182,2023,454,485,0,38494,52259,0,0,0,0,0,0,0,0,0,0,0,0,944568,"1,372",895,706,58,52,79,230,140,107,Red
31-Dec-09,Texas,147383,0,364996,377244,3128,22858,0,517,577,0,42904,54408,0,0,0,0,0,0,0,0,0,0,0,0,1014015,"1,325",862,661,55,58,88,197,153,113,Red
31-Dec-16,Texas,390462,0,637476,481609,40329,33102,0,455,349,23,78877,57477,470,391,34,13,0,0,333,260,32,14,15,5,1721726,"1,459","1,066",630,51,31,354,175,136,82,Red
31-Dec-15,Texas,268158,0,617174,486807,33752,31812,0,361,309,8,74990,60203,343,2,2,3,0,0,144,149,22,6,20,1,1574266,"1,276",906,610,19,36,241,146,135,89,Red
31-Dec-17,Texas,317766,0,577417,443142,37823,32253,0,517,329,25,81994,54960,466,778,63,1,0,0,951,764,109,28,38,10,1549434,"1,364","1,012",594,40,26,352,156,131,65,Red
31-Dec-10,Texas,122062,0,344377,361378,7744,17966,0,611,630,6,51387,61812,98,0,0,0,0,0,0,0,0,0,0,0,968071,"1,246",805,581,34,48,142,202,130,109,Red
31-Dec-19,Texas,348122,0,554577,382090,43723,35158,84,896,560,46,75713,43539,474,757,62,1,0,0,730,535,100,20,18,7,1487212,"1,379","1,064",568,72,21,403,127,130,58,Red
31-Dec-13,Texas,277031,0,598088,568501,23668,30847,0,474,435,10,68291,65711,217,0,0,0,4,0,0,0,0,0,1,0,1633278,"1,133",760,530,34,30,166,164,129,80,Red
31-Dec-18,Texas,420120,0,523406,403127,43244,41142,9068,849,487,48,78276,48197,496,598,54,0,0,0,1260,1026,152,38,41,3,1571632,"1,301",956,522,33,37,364,128,133,84,Red
31-Dec-11,Texas,161077,0,413943,423486,10474,21885,0,675,663,1,58474,64576,133,0,0,0,0,0,0,0,0,0,0,0,1155387,"1,089",699,497,37,48,117,175,134,81,Red
31-Dec-12,Texas,166035,0,548083,535441,20105,29610,0,589,486,7,67214,68382,180,0,0,0,0,0,0,0,0,0,0,0,1436132,"1,141",745,493,28,41,183,173,122,101,Red
31-Dec-14,Texas,251155,0,513197,504240,27837,29528,0,338,293,16,73037,65996,350,0,0,0,3,0,0,1,0,1,0,0,1465992,"1,141",765,483,33,28,221,145,128,103,Red
31-Dec-11,Louisiana,0,0,101519,130125,2020,4751,16,100,103,0,11226,14689,3,0,0,0,0,0,0,0,0,0,0,0,264552,485,402,372,10,8,12,28,29,26,Red
31-Dec-12,Louisiana,0,0,129806,157772,4155,6529,0,53,73,0,12354,15538,10,0,0,0,0,0,0,0,0,0,0,0,326290,455,370,341,9,8,12,35,27,23,Red
31-Dec-07,Louisiana,0,0,76147,109624,0,2962,0,55,76,0,7799,11538,0,0,0,0,0,0,0,0,0,0,0,0,208201,577,455,339,31,15,70,45,55,22,Red
31-Dec-06,Louisiana,3,0,78149,111258,0,2974,5,38,67,0,7677,12005,0,0,0,0,0,0,0,0,0,0,0,0,212176,488,396,335,29,7,25,35,37,20,Red
31-Dec-09,Louisiana,0,0,97990,122013,817,5085,11,36,40,0,8931,12161,0,0,0,0,0,0,0,0,0,0,0,0,247084,486,402,330,20,11,41,32,37,15,Red
31-Dec-13,Louisiana,0,0,144927,167642,5648,7446,0,55,62,6,12181,15043,14,0,0,0,0,0,0,1,0,0,0,0,353025,453,356,298,8,9,41,34,40,23,Red
31-Dec-17,North Carolina,299025,0,18131,158597,8902,2865,0,128,166,8,24360,24871,73,1,0,0,46,25,119,427,38,7,16,8,537813,547,413,279,9,26,99,33,64,37,Red
31-Dec-17,Tennessee,259782,0,303513,187974,16044,0,1,0,0,0,0,0,0,499,69,71,0,0,0,0,0,0,0,0,767953,525,407,271,19,11,106,42,64,12,Red
31-Dec-10,Louisiana,0,0,89765,119251,1700,3955,5,51,38,0,10550,13879,10,0,0,0,0,0,0,0,0,0,0,0,239204,437,351,263,19,11,58,42,31,13,Red
31-Dec-16,North Carolina,345364,0,16595,176919,9886,2812,0,134,158,6,22656,26577,115,1,0,1,5,5,62,97,18,7,24,3,601445,595,421,262,20,22,117,50,80,44,Red
31-Dec-07,Alabama,0,0,91446,114695,0,4253,0,391,611,0,14987,18972,0,0,0,0,0,0,0,0,0,0,0,0,245355,385,285,262,7,16,0,38,47,15,Red
31-Dec-08,North Carolina,156913,0,2770,148261,0,1876,0,128,259,0,13618,23648,0,0,0,0,0,0,0,0,0,0,0,0,347473,586,362,261,22,25,54,54,102,68,Red
31-Dec-19,Missouri,33222,0,218453,177538,20294,13353,1,160,88,18,18144,11732,93,2974,376,42,0,0,692,526,93,29,28,2,497858,566,486,255,26,10,195,31,37,12,Red
31-Dec-07,North Carolina,112868,0,2610,138244,0,1261,0,109,237,0,12007,21879,0,0,0,0,0,0,0,0,0,0,0,0,289215,555,369,252,17,24,76,63,83,40,Red
31-Dec-18,Tennessee,205089,0,290067,179432,18793,0,6,0,0,0,0,0,0,589,83,42,0,0,0,0,0,0,0,0,694101,496,397,245,26,8,118,28,49,22,Red
31-Dec-09,North Carolina,182768,0,2648,139077,872,2905,0,130,287,0,14377,25396,0,0,0,0,0,0,0,0,0,0,0,0,368460,480,335,243,17,20,55,49,64,32,Red
31-Dec-14,North Carolina,939853,0,12049,165134,5549,2821,0,67,183,5,23146,33458,84,0,0,0,0,0,0,0,0,0,0,0,1182349,469,318,242,21,14,41,39,63,49,Red
31-Dec-08,Louisiana,0,0,94932,129014,0,4218,0,65,50,0,8377,11699,0,0,0,0,0,0,0,0,0,0,0,0,248355,390,309,241,20,12,36,33,34,14,Red
31-Dec-08,Alabama,117,0,112649,143499,0,5673,3,148,178,0,16720,20445,0,0,0,0,0,0,0,0,0,0,0,0,299432,338,262,241,1,20,0,24,35,17,Red
31-Dec-18,Missouri,15177,0,224305,185305,19663,14619,0,123,106,20,18446,13418,99,2488,345,100,0,0,956,838,117,26,28,5,496184,555,473,235,16,9,213,40,32,10,Red
31-Dec-15,North Carolina,285468,0,15243,166991,7675,2769,0,118,180,4,22946,30274,96,0,0,0,0,0,17,77,5,4,8,1,531876,506,353,235,10,21,87,41,77,35,Red
31-Dec-11,North Carolina,167568,0,3703,148662,2616,2043,0,121,220,0,19032,31194,52,0,0,0,0,0,0,0,0,0,0,0,375211,489,335,235,26,19,55,60,57,37,Red
31-Dec-15,Missouri,85663,0,253977,186718,13009,11940,0,96,124,5,14175,17775,64,836,190,23,0,0,153,102,14,4,7,0,584875,499,418,233,12,11,162,26,40,15,Red
31-Dec-18,Louisiana,32047,1223,121441,108625,9667,9602,14,122,132,13,13058,10583,39,0,0,0,0,0,285,283,45,7,5,1,307192,521,436,233,12,5,186,30,44,11,Red
31-Dec-18,North Carolina,303492,0,17932,145649,11520,2806,0,177,190,17,24688,22658,122,0,0,0,95,57,90,352,41,5,21,4,529916,479,346,231,15,16,84,44,52,37,Red
31-Dec-06,North Carolina,104319,0,2675,146016,0,1262,0,74,251,0,12456,22971,0,0,0,0,0,0,0,0,0,0,0,0,290024,530,338,227,23,28,60,59,75,58,Red
31-Dec-06,Alabama,0,0,83100,121077,0,3865,0,491,816,0,14663,19164,0,0,0,0,0,0,0,0,0,0,0,0,243176,349,247,226,0,21,0,35,51,16,Red
31-Dec-17,Missouri,10144,0,252709,196933,15876,12881,0,135,92,9,17622,14654,93,1842,233,43,0,0,844,720,94,20,21,8,524973,596,514,224,22,8,260,25,48,9,Red
31-Dec-19,North Carolina,299605,1107,19788,143998,12710,2713,214,183,232,22,23810,19611,138,4690,968,141,97,66,87,155,16,5,9,0,530365,516,383,224,26,8,125,52,68,13,Red
